EN,RUS,TH,TH 2244/2828 (79.35%)
Did you find a treasure?,Ты нашёл сокровище?,เจอสมบัติงั้นหรอ?,
You seem to have found the secret of the beach.,"Кажется, ты раскрыла тайну пляжа.",ดูเหมือนจะเจอความลับของริมฝั่งที่นี่เข้าแล้ว,
The beach has a secret...?,У пляжа есть тайна...?,ที่ริมฝั่งนี่มีความลับงั้นหรอ...?,
Yes... Let's have a look.,Да... Давай взглянем.,มีสิ... ลองมาดูกัน,
"So, Misfortune...","Итак, Неудача...",เอาล่ะ ยัยตัวซวย...,
"And the party, right?","И к вечеринке, верно?",แล้วก็ปาร์ตี้ด้วยใช่มั้ย?,
"Ah, yes, that too.","Ах, да, и к ней тоже.",อ้อใช่ๆ นั่นก็ด้วย,
"At the other side of this lake, you will be one step closer to the prize of Eternal Happiness.","По ту сторону этого озера, ты станешь на шаг ближе к призу - Вечному Счастью.",ที่อีกฟากของทะเลสาบ เธอจะได้เข้าใกล้รางวัลความสุขนิรันดร์ไปอีกก้าวแล้ว,
"Sweet, let's go then!","Славно, тогда пойдём!",เยี่ยม งั้นไปกันเลย!,
"Come on, Lil' Cutie!","Идём, Милашка!",มากัน ไอ้ต้าวตัวน้อย!,
"Come on, puppy!","Быстрее, пёсик!",มาเลย เจ้าลูกหมา!,
"You know, once at this lake, I got my head stuck in a plastic bag.","Знаешь, однажды, в этом озере, моя голова застряла в полиэтиленовом пакете.",รู้มั้ย หัวหนูเคยติดอยู่ในถุงพลาสติกครั้งนึงที่ทะเลสาบนี่,
I remember falling asleep and waking up in the hospital.,"Я помню, что заснула и проснулась в больнице.",จำได้ว่าเผลอหลับไปแล้วก็ตื่นมาอีกทีอยู่ที่โรงพยาบาลแล้ว,
"Yeah, I almost died.","Да, я почти умерла.",ใช่ หนูเกือบตายแน่ะ,
That's terrible!,Это ужасно!,น่ากลัวชะมัด!,
"So, Misfortune...","Итак, Неудача...",เอาล่ะ ยัยตัวซวย...,
"And the party, right?","И к вечеринке, так?",แล้วก็ปาร์ตี้ด้วยใช่มั้ย?,
"Ah, yes, that too.","Ах, да, и к ней тоже.",อ้อใช่ๆ นั่นก็ด้วย,
"At the other side of this lake, you will be one step closer to the prize of Eternal Happiness.","По ту сторону этого озера, ты станешь на шаг ближе к призу - Вечному Счастью.",ที่อีกฟากของทะเลสาบ เธอจะได้เข้าใกล้รางวัลความสุขนิรันดร์ไปอีกก้าวแล้ว,
"Oh, puppy. I'm petting you! Why do you let me? You like me?","Оу, пёсик, я тебя глажу! Почему ты мне позволяешь? Я тебе нравлюсь?",อุ๊ย เจ้าหมา จะลูบละน้า! ทำไมยอมให้ลูบล่ะ? ชอบฉันหรอ?,
"What's your name, sweet puppy?","Как тебя зовут, милый пёсик?",ชื่ออะไรน่ะ เจ้าหมาน่ารัก?,
Is your name Lil' Cutie? Beacuse it should be...,Тебя зовут Милашка? Тебе бы подошло...,ชื่อว่า ไอ้ต้าวตัวน้อยใช่มั้ย? คิดว่าน่าจะใช่นะ...,
Lil' Cutie? Mmm...,Милашка? Ммм...,ไอ้ต้าวตัวน้อย? อืมม...,
Mmm... so soft.,Ммм... такой мягкий.,หืมม... นิ่มจัง,
"I like to pet you, Lil' Cutie.","Мне нравится тебя гладить, Милашка.",หนูชอบลูบเธอจัง ไอ้ต้าวตัวน้อย,
You are going to die today,Сегодня ты умрёшь,คุณจะตายวันนี้,
Release it,Отпустить,ปล่อยไป,
Take it,Взять,เก็บไว้,
MORGO,,มอร์โก,
Dirty beach,,หาดสกปรก,
PuppyDog,,PuppyDog,
Puppy,,เจ้าหมา,
Party hat,,หมวกปาร์ตี้,
Sign,,ป้าย,
Puppy,Puppy,เจ้าหมา,
"Oh, look! A fortune treat and a doggy cookie, one for me and one for puppy!","Гляди! Лакомство с предсказанием и собачье печенье, одно для меня и одно для пёсика!",อุ๊ยดูสิ! ขนมเสี่ยงทายกับคุกกี้น้องหมา ชิ้นนึงของหนู แล้วอีกชิ้นก็ของเจ้าหมาน้อย!,
"Yes, but you can only take one.","Да, но ты можешь взять только одно.",ใช่ แต่เธอเลือกได้แค่ชิ้นเดียว,
"I mean, I’ll take the cookie because I like cookies and they tell your fortune in the cookie.","Я возьму печенье, потому что я люблю печенье и они предсказывают твою судьбу.",เอาเป็นว่า หนูเอาคุกกี้แล้วกันเพราะหนูชอบคุกกี้แล้วก็ได้อ่านคำทำนายในคุกกี้ด้วย,
I’ll take the doggy treat and use it to make the doggy love me.,Я возьму собачье лакомство и заставлю пёсика полюбить себя.,งั้นหนูเอาขนมน้องหมาให้มันดีกว่า น้องหมาจะได้รักหนู,
"And, yeah, I take the cookie for me.","Да, я возьму печенье для себя.",เอาล่ะ หนูเอาคุกกี้ให้ตัวเองนะ,
[localvar:1],[localvar:1],[localvar:1],
Isn't it perfect?,Разве не прекрасно?,ลงตัวพอดีใช่มั้ยล่ะ?,
"A cookie for you, or a treat for the dog.\x0D",Печенье себе или лакомство для собаки.\x0A,คุกกี้ให้หนู หรือขนมให้หมาดี\x0D,
Fortune cookie,Печенье с предсказанием,คุกกี้เสี่ยงทาย,
Doggy treat,Собачье лакомство,ขนมน้องหมา,
MORGO,,มอร์โก,
"A cookie for you, or a treat for the dog?",Печенье себе или лакомство для собаки?,คุกกี้ให้หนู หรือขนมให้หมาดี?,
I should kick them in the balls.,Мне следует ударить их по шарам.,หนูน่าจะเตะไข่มันได้,
Ok... My glitter is shiny...,Хорошо... Мои блёстки сверкают...,โอเค... กากเพชรหนูมันเรืองแสง...,
And they will get confused and leave me alone.,"Это собьёт их с толку, и они оставят меня в покое. ",แล้วมันจะได้เผลอปล่อยหนูเอง,
"I think you're in big trouble, Misfortune.","Кажется, у тебя большие неприятности, Неудача.",ฉันคิดว่าเธอเจอปัญหาใหญ่เข้าแล้วล่ะ ยัยตัวซวย,
"Yeah, tell me about it.","Ага, и не говори.",อ้อ ไหนบอกที,
But you have to do something about it fast!,"Ты должна что-то предпринять, быстро!",แต่ต้องทำอะไรสักอย่างแล้ว ให้ไวเลย!,
"And I asked, where are these balls?","И я спросила, где эти шары?",แล้วหนูก็ถามว่า ไข่อยู่ไหนล่ะ?,
"That sounds like a solid plan, Misfortune!","Звучит как отличный план, Неудача!",ฟังดูเป็นแผนที่เข้าท่าเลยนะ ยัยตัวซวย!,
Alright.,Хорошо.,โอเค,
"Mommy told me once, if guys are annoying me...","Однажды мама сказала, если мальчики ко мне пристают...",แม่เคยบอกว่า ถ้ามีผู้ชายมารังควาญ...,
"So, if I throw glitter at the birds, they will only see shiny.","Значит, если я брошу блёстки в птиц, они будут видеть только блеск.",งั้นถ้าหนูโปรยกากเพชรใส่นก มันก็จะเห็นแค่แสงวิบวับ,
[localvar:0],[localvar:0],[localvar:0],
And she said between the legs.,"А она ответила, что между ног.",แล้วแม่ก็บอกว่าอยู่ตรงระหว่างขา,
"Alright, here I go!","Ладно, вперёд!",เอาล่ะ ลุยละนะ!,
Where are these birds taking me?,Куда эти птицы меня несут?,พวกนกมันจะพาหนูไปไหนกัน?,
"Oh, what's happening?","Ох, что происходит?",โอ๊ะ เกิดอะไรขึ้น?,
I have no idea!,Понятия не имею!,ไม่รู้เลยเหมือนกัน!,
"Alright, that sounds like a plan.","Ладно, звучит похоже на план.",เอาล่ะ ฟังดูเข้าท่าดี,
Alright! Here I go!,Что ж! Вперед!,เอาล่ะ! ลุยละนะ!,
Ball kick!,Удар по шарам!,เตะอัดไข่!,
Glitter attack!,Атака блёстками!,กากเพชรพิฆาต!,
Shiny glitter all around!,Сверкающие блёстки повсюду!,กากเพชรวิบวับให้ทั่ว!,
How to break loose from the birds?,Как вырваться из лап птиц?,จะหลุดจากนกพวกนี้ได้อย่างไรดี?,
Kick them in the balls,Ударить их по шарам,เตะไข่นก,
Throw glitter at birds,Бросить в птиц блёстки,โปรยกากเพชรใส่นก,
MORGO,,มอร์โก,
*screams*,*кричит*,*กรี๊ด*,
"Oh, this is taking a long time.","Кажется, это надолго.",โอย นานเหมือนกันนะเนี่ย,
We didn't even go that high up!,Мы не поднимались так высоко!,เราไม่เคยขึ้นมาสูงขนาดนี้เลยนี่นา!,
"Well, time seems to slow down when we are in danger.","Кажется, время замедляется, когда мы в опасности.",ก็นะ เวลามันจะช้าลงตอนที่เราอยู่ในอันตราย,
Am I in danger?!,Я в опасности?!,หนูอยู่ในอันตรายหรอ?!,
"Hey look, a birdie! Hello, Birdie! ","Эй, смотри, птичка! Привет, Птичка! ",เฮ้ดูสิ เจ้านกน้อย! หวัดดีเจ้านกน้อย!,
"Huh, that was a rude bird.","Хм, это была грубая птичка.",เหอะ หยาบคายชะมัด,
MORGO,,มอร์โก,
Bird,,นก,
"Oh, a fish!","О, рыба!",โอ้ ปลานี่นา!,
What should we do about it?,Что нам с ней сделать?,เอายังไงกับมันดีล่ะ?,
"I would like to return it, it smells fishy.","Я хочу её отпустить, она пахнет подозрительно.",หนูปล่อยมันกลับลงน้ำดีกว่า กลิ่นมันเห็นอย่างกับคาวปลา,
I'll keep it.,Я оставлю её.,หนูเก็บไว้เอง,
[localvar:3],[localvar:3],[localvar:3],
"Bye-bye, fishy-fishy.","Пока-пока, рыбка.",บ๊ายบายนะเจ้าปลา,
I wonder if Rodrigo has heard about sushi.,"Интересно, слышал ли Родриго о суши?",สงสัยจังว่าโรดริโก้เคยได้ยินเรื่องซูชิมั้ย,
His name is Rodrigo and he needs a new place to stay.,Его зовут Родриго и ему нужно новое жильё.,เขาจะชื่อว่าโรดริโก้ และเขาคงต้องการบ้านใหม่,
"It's like Rodrigo, but in tiny pieces, you know?","Это как Родриго, только мелкими кусочками, знаешь?",มันเหมือนกับโรดริโก้เลย แค่หั่นเป็นชิ้นเล็กๆ ก็เท่านั้นเอง,
Why didn't I break my legs and die?,Почему я не сломала ноги и не умерла?,ทำไมหนูถึงไม่ตกลงมาขาหักตายล่ะ?,
Hmm... You seem very good at falling.,"Хмм... Похоже, ты умеешь хорошо падать.",หืมม... ดูเหมือนร่วงเก่งมากนะเรา,
Thank you.,Спасибо.,ขอบคุณนะ,
"Oh, look! A boat!",Смотри! Корабль!,โอ๊ะ ดูสิ! เรือนี่นา!,
Are we there yet?,Мы уже пришли?,จะถึงรึยัง?,
Hello!,Привет!,หวัดดี!,
Just a little bit farther away.,Ещё чуть дальше.,อยู่ข้างหน้าอีกนิดเดียว,
"Ah, ok.","А, хорошо.",เอ่อ โอเค,
"So, Mr. Voice, is the party on the same way to the Eternal Happiness?","Значит, Мистер Голос, вечеринка в той же стороне, что и Вечное Счастье?",นี่คุณวอยซ์ ปาร์ตี้มันอยู่ทางเดียวกันกับความสุขนิรันดร์เลยหรอ?,
"Oh, that's convenient.","Оу, как удобно.",อ้อ สะดวกดีแฮะ,
About the puppy?,О пёсике?,เรื่องน้องหมาหรอ?,
"Yes, yes, it is.","Да, конечно, в той же.",ใช่ๆ ทางเดียวกัน,
Have you thought about how to break the news to George?,"Ты подумала о том, как расскажешь новость Джорджу?",ได้คิดไว้รึยังว่าจะบอกข่าวกับจอร์จยังไง?,
"Yes, I mean, if you want to...","Конечно, только если ты хочешь...",ใช่ หมายถึงว่า ถ้าเธอจะบอกนะ...,
[localvar:2],[localvar:2],[localvar:2],
"Yes, of course. That's the least I can do for the sweet puppy.","Да, конечно. Это самое малое, что я могу сделать для милого пёсика.",ต้องบอกสิ อย่างน้อยก็ทำเพื่อน้องหมาน่ารักตัวนั้น,
"That is very brave of you, Misfortune.","Это очень смело с твоей стороны, Неудача.",หนูเป็นเด็กกล้าหาญมากเลย ยัยตัวซวย,
Thank you.,Спасибо.,ขอบคุณนะ,
"No, I don't want to get in trouble.\x0D","Нет, я не хочу неприятностей.\x0A",ไม่ดีกว่า หนูไม่อยากมีเรื่อง\x0D,
And I really want to dance at the party.,И я очень хочу потанцевать на вечеринке.,แล้วหนูก็อยากไปเต้นในงานปาร์ตี้จะแย่แล้ว,
Alright then.,"Что ж, ладно.",เอางั้นก็ได้,
MORGO,,มอร์โก,
Release it,Отпустить,ปล่อยไป,
Bring it with you,Забрать с собой,พาไปด้วย,
Will you tell George about the puppy accident?,Ты расскажешь Джорджу о несчастном случае с пёсиком?,จะบอกจอร์จเรื่องอุบัติเหตุที่เกิดกับเจ้าหมาน้อยไหม?,
What should you do about the fish?,Как поступить с рыбой?,ทำอย่างไรกับปลาตัวนี้ดี?,
Yes,Да,บอก,
No,Нет,ไม่บอก,
Vikingo,,Vikingo,
"Oh, what a nice picture.","Ах, какая красивая фотография.",โอ้ ภาพสวยจัง,
I wish I had a picture like this with my Mommy and Daddy.,Хотела бы я иметь такую же с мамой и папой.,หนูก็อยากมีภาพแบบนี้กับคุณพ่อคุณแม่บ้างจัง,
Hello?,Эй?,หวัดดี?,
"What is it, Misfortune?","Что такое, Неудача?",อะไรรึ ยัยตัวซวย?,
Nothing.,Ничего.,เปล่าค่ะ,
[localvar:3],[localvar:3],[localvar:3],
Nobody's answering...,Никто не отвечает...,ไม่มีใครตอบเลย...,
Time to check out the party!\x0D,Время заценить вечеринку!\x0A,ได้เวลาสนุกกับปาร์ตี้แล้ว!\x0D,
I'll invite myself in.,Я сама себя приглашу.,งั้นหนูเข้าไปเองละนะ,
And here we are. The house of George.,И вот мы здесь. Дом Джорджа.,เอาล่ะถึงแล้ว บ้านของคุณจอร์จ,
I'm a bit nervous about introducing myself.,Я немного нервничаю перед знакомством.,หนูกังวลนิดหน่อยว่าจะแนะนำตัวยังไงดี,
You'll do fine! You're brave telling the truth about the puppy.,"Ты справишься! Ты храбрая, раз решила рассказать правду о пёсике.",ไม่เป็นไรน่า! หนูกล้าพูดความจริงเรื่องลูกหมาตัวนั้นอยู่แล้ว,
"Stop it. I'm doing it for the puppy, you know.","Прекрати. Я делаю это ради пёсика, ты ведь знаешь.",ไม่หรอก หนูแค่ทำเพื่อน้องหมาตัวนั้นเฉยๆ แหละค่ะ,
You'll do fine! Just don't mention the puppy like we discussed earlier...,"Ты справишься! Просто не упоминай пёсика, как мы говорили ранее...",ไม่เป็นไรน่า! แค่ไม่พูดเหมือนลูกหมาเหมือนที่คุยกันไว้ก่อนนี้ไง...,
"Yes, ok. I'll just dance.","Ладно, хорошо. Я буду просто танцевать.",ได้คะ แค่เต้นอย่างเดียวก็พอเนอะ,
"Ah, these black birds... If George only knew what happened to the puppy.","Ох, эти чёрные птицы... Если бы Джордж только знал, что случилось с пёсиком.",อ่า เจ้านกดำพวกนี้... ถ้าจอร์จรู้ว่าเกิดอะไรขึ้นกับน้องหมานั่นล่ะก็,
"Fricking birds! Thanks to them, I obviously came late to the party...","Дурацкие птицы! Я уверена, что из-за них я опоздала на вечеринку...",ไอ้นกเวร! เพราะพวกแกเลย ฉันถึงได้มาไม่ทันงานปาร์ตี้...,
"Ok, I'm here now!","Всё, я здесь!",โอเคหนูมาแล้ว!,
Let's go into the woods and get that Eternal Happiness!,Давай пойдём в лес и достанем Вечное Счастье!,เข้าป่าไปตามหาความสุขนิรันดร์กันดีกว่า!,
Yes!,Да!,ค่ะ!,
You're going the wrong way.,Ты идёшь не туда.,เธอกำลังไปผิดทางนะ,
"Oh, but you're here anyway...","Оу, но тем не менее, ты здесь...",โอ๊ะ แต่คุณก็อยู่ที่นี่อยู่ดีนี่นา...,
"Yes, but let's go to the other side.","Да, но пойдём на другую сторону.",ก็ใช่ แต่ไปอีกทางกันดีกว่า,
"Oh, you're so complicated!","Боже, ты такой сложный!",เอ้า เอาใจยากซะจริง!,
"Excuse me, are you George?","Прошу прощения, вы Джордж?",ขอโทษนะคะ ใช้คุณจอร์จรึเปล่า?,
"Oh no, wait! It looks like he hung himself.","О нет, стой! Похоже, он повесился.",ไม่นะ เดี๋ยวก่อน! ดูเหมือนเขาจะแขวนคอ,
"Hanged himself, like a piñata? Should I hit him like a piñata?","Повесил себя, как пиньята? Мне ударить его, как пиньяту?",แขวนคอ เหมือนแขวนของเล่นที่ชื่อปิญญาตารึเปล่า? หนูเอาเก้าอี้ฟาดได้มั้ย?,
"No, Misfortune... He's dead.","Нет, Неудача... Он мёртв",ไม่เอาน่ายัยตัวซวย... เขาตายแล้ว,
"Dead? But he's wearing a pair of sweet boots, he can't be dead!","Мёртв? Но на нем пара отличных сапог, он не может быть мёртв!",ตายหรอ? แต่เขายังใส่รองเท้าบูทสีสวยอยู่เลย ไม่น่าจะตายหรอก!,
"Oh, ok...","Оу, понятно...",เอ่อ ตายแฮะ...,
"Hey Misfortune, I think this party is over, let's leave.","Эй, Неудача, кажется, вечеринка закончилась, давай уйдём",นี่ยัยตัวซวย ฉันคิดว่าปาร์ตี้คงจบแล้วล่ะ ไปกันเถอะ,
"I don't know anything about any puppy, but I was promised a party.","Я ничего не знаю ни про какого пёсика, но мне обещали вечеринку.",หนูไม่รู้เรื่องอะไรเกี่ยวกับลูกหมาตัวไหนทั้งนั้น แค่มีคนบอกว่าที่นี่มีปาร์ตี้ค่ะ,
"Are you the owner of a puppy, because I bring really bad news...","Вы хозяин пёсика? Если это так, у меня очень плохие новости...",คุณใช่เจ้าของหมาตัวนั้นรึเปล่า พอดีหนูมีข่าวร้ายมากๆ จะมาบอก...,
I'll meet you in the back.,Встретимся на заднем дворе.,ไว้ฉันจะรอที่หลังบ้านนะ,
"George, you know, now that you're dead...","Джордж, кстати, раз вы умерли...",คุณจอร์จ รู้มั้ยว่าตอนนี้คุณตายแล้วนะ...,
Your puppy is gone.,Вашего пёсика больше нет.,น้องหมาก็หายไปด้วย,
I liked the puppy.,Мне нравился этот пёсик.,หนูชอบน้องหมาตัวนั้นนะ,
Bye!,Прощайте!,บาย!,
Happiness to George the piñata!,Счастья пиньяте-Джорджу!,ให้ปิญญาตาคุณจอร์จมีความสุข!,
"I saw a man once, floating in the lake, just like this fishy...","Однажды я видела человека, плавающего в озере, совсем как эта рыбка...",ครั้งนึงหนูเคยเจอคนลอยในทะเลสาบ เหมือนปลาตัวนี้เลย...,
Are you sure this is the right house?,"Ты уверен, что это правильный дом?",แน่ใจหรอว่าบ้านหลังนี้ถูกแล้ว?,
Where is the party? Hello?,Где вечеринка? Кто-нибудь?,ไหนล่ะปาร์ตี้? ฮัลโหล?,
"Oh, what's this? I guess it's not finished...","Оу, что это? Похоже, она не закончена...",โอ๊ะ นี่อะไรน่ะ? หนูเดาว่าคงยังวาดไม่เสร็จ...,
"Look, I brought your doggy back, you're welcome!","Смотрите, я привела обратно вашу собачку, не стоит благодарности!",ดูสิ หนูพาน้องหมาของคุณกลับมาให้แล้วนะ ไม่เป็นไรแล้ว!,
"Nah, I'm not feeling inspired.","Не-а, у меня нет вдохновения.",ไม่ล่ะ ไม่มีอารมณ์จะวาดอะไรตอนนี้,
[localvar:2],[localvar:2],[localvar:2],
"Look, I made you a doggy.","Смотрите, я сделала вам собачку.",ดูสิ หนูทำน้องหมาให้แล้วนะ,
"Not that you need one, but anyways.","Не то, чтобы она была вам нужна, но все же.",อาจจะไม่ใช่ตัวที่คุณอยากได้ แต่ก็ช่างเถอะ,
Fix it,Исправить,แก้รูป,
Leave it,Оставить,ปล่อยเอาไว้,
Ring bell,Позвонить в звонок,กดกระดิ่ง,
Knock,Постучать,เคาะประตู,
What to do about the unfinished painting?,Как поступить с незавершённой картиной?,จะทำอย่างไรกับภาพที่ยังวาดไม่เสร็จดี?,
Knock or ring the bell?,Постучать или позвонить в звонок?,เคาะประตูหรือกดกระดิ่ง?,
Canvas,,ผ้าใบภาพ,
Door,,ประตู,
Painting,,ภาพวาด,
MORGO,,มอร์โก,
Dead fish,,ปลาตาย,
Family photo,,รูปครอบครัว,
GeorgeJr,GeorgeJr,ลูกของจอร์จ,
What's this? A doll?,Что это? Кукла?,อะไรเนี่ย? ตุ๊กตาหรอ?,
"Hmm, interesting. I'll keep it.","Хмм, интересно. Возьму её себе.",หืมม น่าสนใจดีนี่ หนูจะเก็บไว้ละกัน,
"Hey, what do you have there?","Эй, что там у тебя?",เฮ้ เอาอะไรมาจากตรงนั้นรึเปล่า?,
Nothing!,Ничего!,เปล่าค่ะ!,
"""Everything begins with the song of a jackdaw.""","""Все начинается с пения галки.""","""ทุกสิ่งเริ่มต้นด้วยเพลงบทเพลงแห่งอีกาแจ็คดอว์""",
Alright.,Ладно.,โอเค,
"Oh, I love the woods.","Ах, я люблю лес.",โอ้ หนูชอบป่าจัง,
A fox? Like Benjamin?,С лисой? Как Бенджамин?,จิ้งจอก? เบนจามินหรอ?,
"Yes, but all foxes are evil, so keep your eyes open...","Именно, но все лисы злые, поэтому смотри в оба...",ใช่ แต่จิ้งจอกทุกตัวมันร้ายกาจ ต้องคอยระวังตัวให้ดี...,
"Oh, alright.","Оу, ладно.",อ๋อ ก็ได้,
"Dangerous animals, Misfortune. You might run into a fox!","Опасными животными, Неудача. Ты можешь столкнуться с лисой!",สัตว์อันตรายก็มีนะยัยตัวซวย อาจเจอกับจิ้งจอกเข้าก็ได้!,
"With the trees, and the birds, and the animals...","Со всеми деревьями, птицами, и животными...",มีทั้งต้นไม้ นก แล้วก็พวกสิงสาราสัตว์...,
"Huh, it looks like Benjamin likes to paint...","Хм, похоже, Бенджамин любит рисовать...",หือ ดูเหมือนเบนจามินจะชอบวาดรูปนะ...,
"Focus, Misfortune! We need to keep going!","Соберись, Неудача! Нам нужно идти дальше!",ตั้งใจหน่อย ยัยตัวซวย! เรายังต้องไปกันต่อนะ!,
"Oh, ok...","Ох, хорошо...",เอ่อ โอเค...,
That's pretty cool...,Это довольно круто...,เท่สุดๆ ไปเลย...,
I like that in a fox.,Мне нравится это в лисах.,หนูชอบจิ้งจอกตัวนั้นจัง,
Why are you going this way?,Почему ты идёшь этой дорогой?,ทำไมถึงไปทางนี้ล่ะ?,
Just curious.,Просто любопытно.,ก็แค่สงสัยเฉยๆน่ะ,
"Stay back, Misfortune!","Не подходи, Неудача!",ถอยไป ยัยตัวซวย!,
What is it?,Что такое?,อะไรน่ะ?,
"A wild, dangerous fox!","Дикий, опасный лис!",จิ้งจอกป่าอันตราย!,
Wait... I recognize that black tail... It's Benjamin.,Подожди... Я узнаю этот чёрный хвост... Это Бенджамин.,เดี๋ยวนะ.. หนูจำหางสีดำนั่นได้... เบนจามินนี่นา,
It doesn't matter! Attack it before it kills you!,"Это не важно! Напади на него прежде, чем он убьёт тебя!",ช่างมันก่อน! จู่โจมใส่ก่อนที่มันจะฆ่าเธอซะ!,
"Nah, I don't think Benjamin would kill me.","Не-а, не думаю, что Бенджамин станет меня убивать.",ไม่อะ หนูไม่คิดว่าเบนจามินจะฆ่าหนูหรอก,
"Hello, is your name Benjamin?","Привет, тебя зовут Бенджамин?",หวัดดี เธอชื่อเบนจามินรึเปล่า?,
"No, don't go!","Нет, не уходи!",ไม่ๆ อย่าหนีสิ!,
Ah...,Ну вот...,เอ่อ...,
"Whew! What a relief, we are safe now!","Фух! Какое облегчение, мы в безопасности!",ฟิ้ว! รอดตัวไป พวกเราปลอดภัยแล้ว!,
"There's a magical cave nearby, you need to find it.","Здесь есть волшебная пещера неподалёку, тебе нужно её найти.",มีถ้ำวิเศษอยู่ใกล้ๆ เธอต้องไปตามหาให้เจอ,
A magical cave? Ok...,Волшебная пещера? Хорошо...,ถ้ำวิเศษหรอ? โอเค...,
Ok...,Ладно...,ก็ได้...,
Do you want to play with me?,Хочешь поиграть со мной?,อยากเล่นด้วยกันมั้ย?,
Let's keep playing my game!,Давай продолжим играть в мою игру!,กลับมาเล่นเกมของเรากันต่อดีกว่า!,
"Oh, is this the magical cave?","Оу, это та волшебная пещера?",โอ้ นี่ใช่ถ้ำวิเศษมั้ยนะ?,
Just wait until you go inside!,"Просто подожди, когда мы зайдём внутрь!",ไว้เข้าไปข้างในก็รู้เองน่า!,
I like the sound of that!,"Мне нравится, как это звучит!",ฟังดูน่าสนุกดีนี่นา!,
I have a question!,У меня есть вопрос!,หนูมีคำถาม!,
"Oh, I don't know... Sparkles?","Ох, не знаю... Блёстки?",โอ ไม่รู้เหมือนกัน... กากเพชรหรอ?,
"Ah, cool.","А-а, круто.",อ๋อ เยี่ยมเลย,
"So, whenever you're ready.","Ну, как будешь готова.",งั้น ถ้าพร้อมเข้าไปก็บอกนะ,
"Oh, I can't wait to see the magic inside.","Ох, мне не терпится увидеть волшебство.",โอ๊ะ อยากเห็นแล้วสิว่าข้างในมีอะไรวิเศษกัน,
I'll just stay in the forest.\x0D,Я просто останусь в лесу.\x0A,หนูอยู่ต่อในป่าก็พอค่ะ\x0D,
[localvar:0],[localvar:0],[localvar:0],
It doesn't look THAT magical.,Выглядит она не ТАК волшебно.,มันดูไม่ค่อยจะวิเศษขนาดนั้นซะหน่อย,
What does this sign mean?,Что значит этот знак?,ป้ายนั่นมันหมายถึงอะไรหรอ?,
But then you won't find the Eternal Happiness.\x0D,Но тогда ты не найдёшь Вечное Счастье.\x0A,ถ้างั้นก็ไม่มีทางได้พบกับความสุขนิรันดร์น่ะสิ\x0D,
"Ah, ok.","Ох, ладно.",เอ่อ โอเค,
Enter the cave,Войти в пещеру,เข้าไปในถ้ำ,
Stay in the forest,Остаться в лесу,อยู่ต่อในป่า,
FOX,,จิ้งจอก,
Benjamins stuff,,ข้าวของเบนจามิน,
Cave,,ถ้ำ,
MORGO,MORGO,มอร์โก,
Foxy,Foxy,จิ้งจอกฟ็อกซี่,
Paint,Paint,ภาพวาด,
"Excuse me, I'm a very VIP. Here's my ticket.","Прошу прощения, я Очень Важная Персона. Вот мой билет.",ขอโทษนะคะ หนูเป็น VIP ขั้นพิเศษเลย นี่ตั๋วค่ะ,
"Finally, a real party.","Наконец-то, настоящая вечеринка.",ในที่สุด ก็ได้ปาร์ตี้ของจริงแล้ว,
"Oh, are those mints?","Оу, это мятные леденцы?",โอ้ นั่นลูกอมรสมินต์รึเปล่านะ?,
"Maybe I should try one, so I can keep my breath fresh.","Может попробовать один, чтобы моё дыхание было свежим.",น่าจะลองดูสักเม็ด ปากจะได้หอมสะอาดสดชื่น,
"Whoa, I'm feeling really nice...","Ух ты, мне так хорошо...",โหหหห รู้สึกดีมากเลย...,
"I'm a little lady, you know.","Я - маленькая леди, знаете ли.",หนูโตเป็นสาวน้อยแล้วนะรู้มั้ย,
Check that lady out!,Посмотрите на эту леди!,ดูคุณผู้หญิงคนนั้นสิ!,
"Huh, damn it... Does that mean I'm a criminal too?\x0D","Проклятье... Получается, я тоже преступник?\x0A",ฮึ บ้าจริง... แบบนั้นหนูก็เป็นหัวขโมยไปด้วยอีกคนรึเปล่า?\x0D,
Oh no... I think I recognize her...,"О нет... Кажется, я её узнаю...",ไม่นะ... ฉันว่าฉันจำเธอได้...,
Yes! Looks like she was robbed!,"Да! Похоже, её ограбили!",ใช่จริงด้วย! ดูเหมือนเธอจะโดนปล้นมา!,
Oy! I bet it was that hamster with the black mask!,Oy! Наверняка это был тот хомяк в чёрной маске!,อ้ออ๊อย! พนันได้เลยว่าต้องเป็นแฮมสเตอร์สวมโม่งดำนั้นแน่!,
"Yes, you're right!","Да, ты права!",ใช่เลย เธอเดาถูก!,
Looks like you helped the criminal escape...,"По-моему, ты помогла преступнику сбежать...",ดูเหมือนเธอจะช่วยให้ขโมยนั่นหนีไปได้...,
Of course it does.,Получается так.,จะว่าแบบนั้นก็ได้,
"Huh, really?","Хм, правда?",หือ จริงหรอ?,
Your secret is safe with me.,Я сохраню твой секрет.,ความลับนี้ฉันไม่เอาไปบอกใครหรอก,
Thank you.,Благодарю.,ขอบคุณนะ,
I think she's in trouble.,"Думаю, она в беде.",หนูคิดว่าเธอน่าจะมีปัญหาอะไรให้ช่วย,
Really?,Неужели?,จริงหรอ?,
She’s the owner of the club back there.,Она владелица того клуба.,เธอเป็นเจ้าของคลับที่เราผ่านมาตรงนั้น,
